设备ID,有功功率,无功功率
18,0.4549875,0.390775
19,0.000966667,0.000633333
20,0.46402,0.4023
21,0.00016,0.000112
22,0.42348,0.40025
23,0.50448,0.43312
24,0.00053125,0.000475
1,0.386266667,0.340666667
2,0.0006125,0.0004375
3,0.538137143,0.478751429
4,0.49701875,0.47068125
5,0.5263375,0.4959425
6,0.530434286,0.496057143
7,0.481008,0.42968
8,0.42962,0.3998
9,0.47838,0.44986
10,0.37850625,0.3264
11,0.5211875,0.49235
12,0.36661,0.31189
13,0.242176667,0.109043333
14,0.452366667,0.406
15,0.414825,0.374625
16,0.5038375,0.44771875
17,0.40735625,0.36079375
18,0.4225,0.376475
19,0.0005,0.000266667
20,0.5014,0.46852
21,0.000544,0.000312
22,0.4654,0.41382
23,0.4646,0.42074
24,0.00076875,0.00045625
1,0.499666667,0.4476
2,0.00020625,0.00013125
3,0.518465714,0.441937143
4,0.48699375,0.4358
5,0.56598,0.49172
6,0.577157143,0.526902857
7,0.409208,0.35436
8,0.41289,0.37901
9,0.42256,0.37166
10,0.42515625,0.39875625
11,0.610925,0.5605375
12,0.39994,0.3431825
13,0.22405,0.084023333
14,0.481466667,0.450866667
15,0.4502375,0.4099375
16,0.58755625,0.5473
17,0.43816875,0.39609375
18,0.4390875,0.4071125
19,0.000433333,0.000333333
20,0.48688,0.43638
21,0.000168,0.000112
22,0.4004,0.35757
23,0.48364,0.4429
24,0.0004,0.00033125
1,0.512866667,0.440933333
2,0.0003375,0.00019375
3,0.519002857,0.476771429
4,0.45705,0.39808125
5,0.515835,0.4816925
6,0.564625714,0.493185714
7,0.470912,0.439696
8,0.4865,0.42098
9,0.46018,0.39142
10,0.40494375,0.38188125
11,0.60545,0.5586875
12,0.4405675,0.3987375
13,0.28285,0.1587
14,0.510533333,0.4779
